TOTAL
35.0
31.0
47.0
34.0
44.0
35.0
31.0
49.0
40.0
48.0
42.0
43.0
32.0
41.0
42.0
49.0
37.0
37.0
38.0
43.0
41.0
31.0
38.0
30.0
41.0
41.0
34.0
46.0
40.0
47.0
36.0
43.0
41.0
46.0
44.0
40.0
39.0
37.0
41.0
30.0
46.0
30.0
41.0
44.0
35.0
36.0
40.0
40.0
30.0
50.0
52.0
43.0
46.0
34.0
33.0
42.0
41.0
31.0
46.0
46.0
34.0
36.0
33.0
38.0
26.0
29.0
46.0
25.0
40.0
38.0
39.0
34.0
39.0
53.0
44.0
49.0
37.0
36.0
36.0
51.0
33.0
36.0
43.0
41.0
24.0
50.0
29.0
40.0
36.0
50.0
29.0
37.0
34.0
45.0
34.0
40.0
37.0
37.0
47.0
31.0
33.0
50.0
28.0
37.0
33.0
44.0
40.0
38.0
40.0
31.0
44.0
37.0
44.0
47.0
25.0
34.0
32.0
41.0
38.0
34.0
38.0
39.0
41.0
34.0
29.0
44.0
22.0
40.0
34.0
43.0
40.0
31.0
35.0
33.0
27.0
44.0
52.0
40.0
53.0
40.0
40.0
48.0
31.0
42.0
49.0
43.0
35.0
31.0
36.0
42.0
34.0
31.0
30.0
28.0
38.0
47.0
32.0
47.0
31.0
41.0
40.0
33.0
35.0
42.0
49.0
55.0
51.0
37.0
53.0
29.0
33.0
46.0
36.0
32.0
33.0
33.0
42.0
32.0
41.0
35.0
39.0
40.0
40.0
35.0
28.0
33.0
42.0
29.0
30.0
39.0
34.0
46.0
30.0
37.0
31.0
37.0
41.0
47.0
45.0
29.0
45.0
33.0
33.0
38.0
28.0
42.0
32.0
45.0
36.0
39.0
43.0
32.0
37.0
43.0
34.0
40.0
27.0
24.0
39.0
39.0
35.0
36.0
39.0
47.0
27.0
28.0
50.0
53.0
36.0
44.0
38.0
51.0
43.0
38.0
38.0
36.0
40.0
36.0
40.0
31.0
39.0
37.0
38.0
46.0
28.0
32.0
37.0
29.0
26.0
25.0
52.0
36.0
24.0
28.0
30.0
35.0
45.0
41.0
41.0
31.0
45.0
53.0
45.0
31.0
34.0
32.0
33.0
30.0
33.0
32.0
30.0
50.0
37.0
35.0
55.0
38.0
23.0
36.0
22.0
24.0
28.0
25.0
33.0
58.0
31.0
47.0
43.0
49.0
32.0
44.0
46.0
29.0
30.0
40.0
46.0
40.0
44.0
33.0
43.0
36.0
36.0
46.0
44.0
45.0
46.0
45.0
41.0
44.0
36.0
61.0
50.0
36.0
36.0
29.0
40.0
38.0
31.0
37.0
52.0
34.0
38.0
21.0
36.0
43.0
33.0
18.0
31.0
30.0
49.0
46.0
45.0
43.0
44.0
45.0
